unit_id,unit_name,parent_code,parent_name,yyyymm,year,month,viirs_supported_flag,ba2012_supported_flag,viirs_det_primary,modis_ba_any_ba2012,observation_state,viirs_positive,mismatch_y
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201802,2018,2,1,1,8.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201803,2018,3,1,1,7.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201804,2018,4,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201805,2018,5,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201806,2018,6,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201807,2018,7,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201808,2018,8,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201809,2018,9,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201810,2018,10,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201811,2018,11,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201812,2018,12,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201901,2019,1,1,1,1.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201902,2019,2,1,1,2.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201903,2019,3,1,1,8.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201904,2019,4,1,1,1.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201905,2019,5,1,1,1.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201906,2019,6,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201907,2019,7,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201908,2019,8,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201909,2019,9,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201910,2019,10,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201911,2019,11,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201912,2019,12,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202001,2020,1,1,1,7.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202002,2020,2,1,1,14.0,1.0,both_positive,1,0
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202003,2020,3,1,1,12.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202004,2020,4,1,1,5.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202005,2020,5,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202006,2020,6,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202007,2020,7,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202008,2020,8,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202009,2020,9,1,1,1.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202010,2020,10,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202011,2020,11,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202012,2020,12,1,1,1.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202101,2021,1,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202102,2021,2,1,1,2.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202103,2021,3,1,1,3.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202104,2021,4,1,1,1.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202105,2021,5,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202106,2021,6,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202107,2021,7,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202108,2021,8,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202109,2021,9,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202110,2021,10,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202111,2021,11,1,1,1.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,202112,2021,12,1,1,1.0,0.0,viirs_positive_mcd64a1_zero,1,1
