panel,record_type,unit_id,unit_name,parent_code,state,proportion,value,term,adjusted_or,or_lower_95,or_upper_95,p,support_status,exclusion_reasons
mismatch_geography,district_viirs_only_share,Kwahu_Afram_Plains_South,KWAHU AFRAM PLAINS SOUTH,FZ,,,0.53125,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kwahu_East,KWAHU EAST,FZ,,,0.55752212389380529,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kwahu_South,KWAHU SOUTH,FZ,,,0.56190476190476191,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kwahu_West,KWAHU WEST,FZ,,,0.93333333333333335,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,La_Dade_Kotopon,LA DADE-KOTOPON,CZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,La_Nkwantanang_Madina,LA-NKWANTANANG-MADINA,CZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Lambussie_Karni,LAMBUSSIE-KARNI,SS,,,0.5,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Lawra,LAWRA,SS,,,0.41666666666666669,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ledzokuku_Municipal,LEDZOKUKU MUNICIPAL,CZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Lower_Manya,LOWER MANYA,FZ,,,0.7168141592920354,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Mampong_Municipal,MAMPONG MUNICIPAL,FZ,,,0.63709677419354838,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Mamprugu_Moagduri,MAMPRUGU MOAGDURI,GS,,,0.32323232323232326,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Mfantseman_Municipal,MFANTSEMAN MUNICIPAL,CZ,,,0.97478991596638653,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Mion,MION,GS,,,0.25510204081632654,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Mpohor,MPOHOR,CZ,,,0.93406593406593408,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Nabdam,NABDAM,SS,,,0.34328358208955223,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Nadowli_Kaleo,NADOWLI-KALEO,GS,,,0.56756756756756754,,,,,,valid_nonzero,
